excec memoryUsed freeBlocks rounds avgsize
2.0 50136 53 922 946
1.0 50024 52 923 962
1.0 49976 51 924 980
1.0 49976 52 925 961
1.0 50040 53 926 944
1.0 50032 53 927 944
1.0 50056 53 928 944
1.0 49952 52 929 961
1.0 49952 52 930 961
1.0 50000 53 931 943
1.0 50000 52 932 962
1.0 49984 53 933 943
1.0 49984 53 934 943
1.0 50080 54 935 927
1.0 50088 54 936 928
1.0 50088 55 937 911
1.0 50152 54 938 929
1.0 50096 54 939 928
1.0 50120 54 940 928
1.0 50096 55 941 911
1.0 50048 55 942 910
1.0 50048 55 943 910
1.0 50048 55 944 910
1.0 50008 55 945 909
1.0 50064 55 946 910
2.0 50104 56 947 895
1.0 50104 57 948 879
1.0 50112 57 949 879
2.0 50032 56 950 893
1.0 49984 56 951 893
1.0 49896 57 952 875
1.0 49984 57 953 877
1.0 49960 57 954 876
1.0 49944 56 955 892
1.0 49928 56 956 892
1.0 49952 56 957 892
1.0 49864 57 958 875
1.0 49944 57 959 876
1.0 49920 58 960 861
5.0 49824 59 961 844
1.0 49808 59 962 844
1.0 49776 60 963 830
1.0 49800 59 964 844
1.0 49768 60 965 829
1.0 49824 60 966 830
1.0 49824 60 967 830
1.0 49752 60 968 829
1.0 49752 61 969 816
1.0 49760 61 970 816
1.0 49848 61 971 817
1.0 49912 62 972 805
1.0 49928 62 973 805
1.0 50016 63 974 794
1.0 50080 64 975 782
1.0 50080 64 976 782
2.0 50120 64 977 783
2.0 50152 64 978 784
1.0 50136 63 979 796
1.0 50224 62 980 810
1.0 50216 63 981 797
1.0 50216 63 982 797
1.0 50272 62 983 811
1.0 50264 63 984 798
1.0 50280 63 985 798
1.0 50368 63 986 799
1.0 50392 62 987 813
1.0 50392 62 988 813
1.0 50376 62 989 813
1.0 50448 62 990 814
1.0 50512 63 991 802
1.0 50520 63 992 802
1.0 50656 63 993 804
1.0 50648 62 994 817
1.0 50584 62 995 816
1.0 50664 62 996 817
1.0 50624 62 997 817
1.0 50536 62 998 815
1.0 50528 63 999 802
1.0 50584 62 1000 816
1.0 50576 63 1001 803
1.0 50528 63 1002 802
1.0 50456 63 1003 801
1.0 50424 64 1004 788
1.0 50304 63 1005 798
1.0 50176 64 1006 784
1.0 50224 64 1007 785
1.0 50256 63 1008 798
1.0 50184 63 1009 797
1.0 50216 62 1010 810
1.0 50176 62 1011 809
1.0 50192 62 1012 810
1.0 50176 62 1013 809
1.0 50192 61 1014 823
1.0 50128 61 1015 822
1.0 50128 61 1016 822
1.0 50064 61 1017 821
1.0 50064 61 1018 821
1.0 50112 61 1019 822
1.0 50168 62 1020 809
1.0 50320 63 1021 799
1.0 50328 63 1022 799
1.0 50328 63 1023 799
1.0 50376 64 1024 787
1.0 50288 64 1025 786
1.0 50408 65 1026 776
1.0 50472 66 1027 765
1.0 50360 67 1028 752
1.0 50368 67 1029 752
1.0 50376 67 1030 752
1.0 50408 68 1031 741
1.0 50536 67 1032 754
